Product Name,Category,Price,Stock,Best Seller,Quantity Sold
Product_1,Dairy,208,28,True,141
Product_2,Dairy,307,77,True,45
Product_3,Household,464,23,True,21
Product_4,Household,491,75,False,132
Product_5,Household,377,65,False,65
Product_6,Household,296,24,False,117
Product_7,Snack,367,19,True,93
Product_8,Dairy,485,82,True,57
Product_9,Dairy,238,37,False,82
Product_10,Household,461,71,False,16
Product_11,Dairy,101,23,False,138
Product_12,Household,251,45,True,13
Product_13,Snack,100,65,True,122
Product_14,Snack,121,45,True,97
Product_15,Beverage,403,28,True,31
Product_16,Beverage,104,77,False,144
Product_17,Household,457,12,True,126
Product_18,Beverage,233,80,True,88
Product_19,Household,143,73,False,108
Product_20,Beverage,469,33,True,10
Product_21,Snack,238,31,True,116
Product_22,Beverage,116,24,True,27
Product_23,Household,411,65,False,91
Product_24,Beverage,364,83,True,57
Product_25,Beverage,184,32,True,112
Product_26,Snack,75,60,True,108
Product_27,Household,86,70,True,95
Product_28,Dairy,56,56,True,101
Product_29,Household,93,44,True,21
Product_30,Dairy,349,65,False,93
Product_31,Snack,316,77,True,143
Product_32,Snack,231,68,True,103
Product_33,Snack,109,87,True,109
Product_34,Snack,350,40,True,117
Product_35,Household,269,66,False,122
Product_36,Household,271,22,False,135
Product_37,Snack,150,29,True,29
Product_38,Household,447,18,False,96
Product_39,Beverage,59,90,True,10
Product_40,Household,119,64,True,140
Product_41,Beverage,309,73,True,92
Product_42,Household,397,80,False,100
Product_43,Household,104,44,True,43
Product_44,Snack,230,14,True,5
Product_45,Snack,363,22,False,10
Product_46,Household,393,55,True,7
Product_47,Beverage,251,53,False,12
Product_48,Dairy,219,17,False,143
Product_49,Household,104,82,False,25
Product_50,Snack,274,62,True,112
Product_51,Snack,352,99,False,27
Product_52,Household,166,90,True,135
Product_53,Household,495,89,False,47
Product_54,Beverage,379,87,False,50
Product_55,Dairy,455,49,False,65
Product_56,Household,325,18,True,23
Product_57,Beverage,362,32,True,126
Product_58,Household,284,80,True,88
Product_59,Beverage,215,32,False,112
Product_60,Dairy,438,76,False,106
Product_61,Household,348,51,True,7
Product_62,Snack,130,45,True,132
Product_63,Beverage,128,45,True,133
Product_64,Household,407,46,True,18
Product_65,Household,493,52,True,141
Product_66,Dairy,339,26,False,58
Product_67,Dairy,342,83,True,41
Product_68,Beverage,477,51,True,42
Product_69,Beverage,169,85,True,63
Product_70,Snack,446,34,True,106
Product_71,Snack,107,21,True,120
Product_72,Household,321,52,True,137
Product_73,Dairy,455,13,False,94
Product_74,Beverage,96,90,False,105
Product_75,Snack,471,62,False,26
Product_76,Snack,78,25,True,90
Product_77,Household,194,18,True,126
Product_78,Household,458,81,False,51
Product_79,Snack,316,84,False,42
Product_80,Snack,222,61,True,21
Product_81,Dairy,360,88,True,127
Product_82,Snack,170,32,True,127
Product_83,Snack,184,97,False,107
Product_84,Dairy,379,33,True,68
Product_85,Snack,238,89,True,123
Product_86,Household,296,84,True,87
Product_87,Beverage,109,31,False,22
Product_88,Dairy,459,17,False,8
Product_89,Beverage,66,28,False,29
Product_90,Beverage,54,53,True,98
Product_91,Household,312,43,False,109
Product_92,Household,277,92,False,70
Product_93,Snack,387,73,True,94
Product_94,Household,191,23,True,127
Product_95,Snack,259,63,True,134
Product_96,Household,382,86,True,98
Product_97,Snack,201,66,False,73
Product_98,Beverage,260,43,True,27
Product_99,Household,304,54,True,94
Product_100,Beverage,89,36,False,54
Product_101,Beverage,351,92,False,23
Product_102,Dairy,298,88,True,68
Product_103,Household,351,92,False,38
Product_104,Snack,478,40,False,117
Product_105,Beverage,407,38,False,91
Product_106,Snack,207,91,False,107
Product_107,Dairy,75,47,True,132
Product_108,Beverage,127,15,True,16
Product_109,Household,497,38,True,75
Product_110,Household,443,90,False,97
Product_111,Beverage,65,66,True,85
Product_112,Household,252,48,False,134
Product_113,Beverage,179,92,False,103
Product_114,Beverage,177,95,True,5
Product_115,Beverage,476,27,True,56
Product_116,Beverage,210,97,False,85
Product_117,Dairy,487,71,False,42
Product_118,Snack,451,36,False,50
Product_119,Snack,444,22,False,98
Product_120,Dairy,104,45,True,16
Product_121,Beverage,441,96,False,37
Product_122,Beverage,387,59,False,51
Product_123,Household,240,41,True,99
Product_124,Beverage,245,92,False,97
Product_125,Dairy,276,72,True,108
Product_126,Household,364,70,True,135
Product_127,Beverage,272,37,False,95
Product_128,Household,270,42,True,59
Product_129,Beverage,249,25,True,148
Product_130,Household,289,95,True,109
Product_131,Beverage,344,39,False,103
Product_132,Household,362,65,False,21
Product_133,Dairy,184,75,False,135
Product_134,Household,280,59,False,33
Product_135,Beverage,220,51,True,97
Product_136,Snack,234,81,False,104
Product_137,Beverage,165,71,True,60
Product_138,Snack,73,64,False,104
Product_139,Household,471,31,True,7
Product_140,Dairy,256,38,False,90
Product_141,Beverage,169,57,False,97
Product_142,Snack,85,62,False,53
Product_143,Household,259,14,False,77
Product_144,Beverage,95,33,True,46
Product_145,Beverage,191,90,True,101
Product_146,Snack,381,53,True,112
Product_147,Dairy,84,69,True,69
Product_148,Household,296,27,False,78
Product_149,Household,314,68,True,13
Product_150,Household,70,25,True,110
Product_151,Snack,174,33,False,43
Product_152,Beverage,177,67,False,67
Product_153,Dairy,235,89,False,101
Product_154,Household,239,63,False,23
Product_155,Dairy,154,99,True,76
Product_156,Household,215,82,True,50
Product_157,Beverage,208,49,True,117
Product_158,Dairy,462,65,True,134
Product_159,Dairy,190,81,False,70
Product_160,Snack,126,65,True,15
Product_161,Household,275,65,False,54
Product_162,Household,369,64,True,63
Product_163,Dairy,250,10,False,47
Product_164,Beverage,126,48,True,130
Product_165,Household,382,71,False,67
Product_166,Snack,154,61,True,20
Product_167,Dairy,422,84,False,106
Product_168,Dairy,297,59,True,91
Product_169,Beverage,473,44,True,28
Product_170,Snack,292,25,True,93
Product_171,Beverage,89,30,True,14
Product_172,Dairy,148,33,False,110
Product_173,Dairy,130,49,True,41
Product_174,Beverage,388,38,False,37
Product_175,Dairy,483,67,True,112
Product_176,Beverage,135,76,True,62
Product_177,Snack,163,35,True,51
Product_178,Dairy,450,39,True,76
Product_179,Snack,185,59,False,140
Product_180,Snack,309,19,False,122
Product_181,Household,371,49,False,51
Product_182,Beverage,204,73,False,95
Product_183,Dairy,166,14,False,77
Product_184,Dairy,267,21,True,140
Product_185,Dairy,97,31,True,34
Product_186,Household,53,33,False,96
Product_187,Snack,363,95,True,17
Product_188,Household,62,95,False,18
Product_189,Dairy,195,74,False,48
Product_190,Beverage,228,34,False,33
Product_191,Beverage,126,24,False,65
Product_192,Beverage,425,97,False,37
Product_193,Snack,159,18,True,100
Product_194,Household,64,23,False,109
Product_195,Household,137,31,True,68
Product_196,Household,381,41,True,50
Product_197,Snack,275,19,False,105
Product_198,Dairy,56,28,True,42
Product_199,Household,367,72,True,23
Product_200,Beverage,237,56,False,78
Product_201,Beverage,227,39,True,62
Product_202,Dairy,105,80,False,35
Product_203,Household,296,57,True,11
Product_204,Dairy,440,43,False,126
Product_205,Snack,456,39,False,112
Product_206,Snack,118,64,True,148
Product_207,Beverage,58,68,True,24
Product_208,Household,418,68,True,29
Product_209,Household,470,14,False,101
Product_210,Household,385,81,True,39
Product_211,Household,366,76,False,95
Product_212,Dairy,450,44,True,57
Product_213,Snack,402,89,True,60
Product_214,Beverage,227,32,False,81
Product_215,Dairy,412,77,True,86
Product_216,Household,116,33,True,114
Product_217,Household,275,57,False,25
Product_218,Snack,109,40,False,46
Product_219,Household,349,92,True,92
Product_220,Beverage,90,72,False,145
Product_221,Beverage,266,40,False,23
Product_222,Snack,342,19,True,96
Product_223,Household,201,42,True,40
Product_224,Snack,492,29,False,29
Product_225,Beverage,115,63,False,125
Product_226,Dairy,450,55,True,123
Product_227,Beverage,375,20,True,115
Product_228,Dairy,140,54,True,68
Product_229,Snack,211,35,False,36
Product_230,Household,221,24,False,77
Product_231,Household,127,22,True,98
Product_232,Household,372,55,True,61
Product_233,Snack,235,40,False,115
Product_234,Beverage,157,23,False,102
Product_235,Household,391,28,False,104
Product_236,Beverage,116,70,False,55
Product_237,Household,242,72,False,65
Product_238,Beverage,253,79,False,54
Product_239,Snack,459,14,True,104
Product_240,Household,286,64,False,148
Product_241,Dairy,213,85,True,65
Product_242,Household,186,57,True,123
Product_243,Beverage,143,71,True,92
Product_244,Dairy,327,64,False,43
Product_245,Beverage,217,61,False,87
Product_246,Dairy,86,20,False,101
Product_247,Household,342,93,True,149
Product_248,Dairy,247,63,False,105
Product_249,Snack,287,13,True,103
Product_250,Dairy,293,86,True,71
Product_251,Beverage,440,46,True,8
Product_252,Household,227,16,False,97
Product_253,Dairy,432,74,False,114
Product_254,Household,152,91,True,33
Product_255,Household,169,89,True,65
Product_256,Household,351,26,True,95
Product_257,Snack,251,26,False,117
Product_258,Snack,102,61,True,70
Product_259,Household,145,35,True,149
Product_260,Snack,136,90,True,29
Product_261,Snack,65,40,True,46
Product_262,Dairy,89,84,True,48
Product_263,Beverage,273,20,True,133
Product_264,Household,91,87,True,68
Product_265,Beverage,440,14,True,17
Product_266,Snack,132,82,True,25
Product_267,Household,436,77,False,106
Product_268,Beverage,51,94,True,14
Product_269,Beverage,181,65,True,102
Product_270,Household,256,83,False,38
Product_271,Beverage,441,86,False,103
Product_272,Snack,303,94,True,38
Product_273,Beverage,351,79,True,134
Product_274,Snack,178,15,True,88
Product_275,Household,278,48,True,142
Product_276,Household,173,50,True,89
Product_277,Dairy,252,55,True,130
Product_278,Dairy,491,22,True,97
Product_279,Dairy,359,68,True,42
Product_280,Household,345,24,False,21
Product_281,Snack,358,47,False,55
Product_282,Household,371,70,False,68
Product_283,Beverage,258,17,True,31
Product_284,Beverage,239,44,False,5
Product_285,Beverage,79,29,False,5
Product_286,Beverage,94,93,True,19
Product_287,Household,437,43,False,129
Product_288,Beverage,393,88,True,112
Product_289,Snack,50,69,True,52
Product_290,Dairy,424,20,False,90
Product_291,Household,99,91,False,32
Product_292,Beverage,414,61,False,146
Product_293,Household,348,68,True,25
Product_294,Dairy,190,33,True,50
Product_295,Beverage,465,27,True,58
Product_296,Snack,387,35,True,96
Product_297,Beverage,194,99,False,8
Product_298,Snack,301,64,True,68
Product_299,Household,144,90,False,82
Product_300,Household,168,69,True,135
Product_301,Household,333,57,True,66
Product_302,Beverage,480,97,False,120
Product_303,Snack,402,24,False,66
Product_304,Dairy,90,44,False,131
Product_305,Beverage,70,69,False,70
Product_306,Beverage,109,73,True,71
Product_307,Household,498,50,False,59
Product_308,Snack,417,31,True,110
Product_309,Dairy,488,28,False,6
Product_310,Snack,296,30,False,87
Product_311,Dairy,345,67,True,88
Product_312,Household,340,33,True,24
Product_313,Household,325,21,False,92
Product_314,Dairy,175,88,False,72
Product_315,Beverage,301,73,True,82
Product_316,Household,373,63,False,69
Product_317,Snack,51,87,True,102
Product_318,Household,405,26,True,75
Product_319,Household,426,10,True,124
Product_320,Snack,265,20,False,105
Product_321,Snack,270,62,False,111
Product_322,Snack,463,77,True,144
Product_323,Household,140,59,False,26
Product_324,Household,201,36,False,47
Product_325,Beverage,385,70,True,25
Product_326,Beverage,447,98,True,114
Product_327,Household,235,12,True,25
Product_328,Beverage,337,83,False,147
Product_329,Beverage,353,64,True,61
Product_330,Household,491,89,True,46
Product_331,Household,433,79,False,78
Product_332,Household,96,98,False,55
Product_333,Household,322,47,False,118
Product_334,Snack,259,18,False,73
Product_335,Dairy,456,38,True,76
Product_336,Household,362,19,False,47
